sensor_ts_us,system_ts_us
290789526,1754259122320933.5
290822815,1754259122359838.0
290856145,1754259122389772.0
290889485,1754259122436959.5
290922780,1754259122461823.2
290956108,1754259122488268.8
290989403,1754259122525772.2
291022720,1754259122560669.5
291056083,1754259122587153.2
291089364,1754259122630929.0
291122674,1754259122662069.0
291155994,1754259122741048.2
291189341,1754259122783883.0
291222656,1754259122817260.0
291255997,1754259122835535.5
291289296,1754259122852579.0
291322616,1754259122873016.0
291355924,1754259122900365.5
291389218,1754259122920260.5
291422540,1754259122965948.5
291455860,1754259122993678.0
291489201,1754259123034576.8
291522537,1754259123066465.2
291555834,1754259123086526.8
291589159,1754259123133536.2
291622441,1754259123164692.5
291655759,1754259123190382.0
291689109,1754259123224735.2
291722396,1754259123257615.2
291755723,1754259123289821.0
291789040,1754259123331875.2
291822378,1754259123380220.0
291855673,1754259123399263.2
291888985,1754259123422515.5
291922303,1754259123458551.5
291955657,1754259123486703.8
291988938,1754259123525583.0
292022290,1754259123564735.8
292055573,1754259123597383.5
292088923,1754259123626267.5
292122251,1754259123654475.8
292155527,1754259123693995.0
292188854,1754259123721228.8
292222167,1754259123761135.8
292255481,1754259123789520.5
292288838,1754259123829532.8
292322157,1754259123860284.0
292355460,1754259123898171.5
292388790,1754259123919399.0
292422101,1754259123952632.5
292455428,1754259124043004.8
292488740,1754259124068630.5
292522040,1754259124084905.0
292555347,1754259124118606.2
292588695,1754259124132762.0
292622011,1754259124153329.0
292655294,1754259124193858.2
292688627,1754259124231489.5
292721965,1754259124298302.5
292755255,1754259124316372.2
292788570,1754259124351406.8
292821885,1754259124370996.8
292855233,1754259124390083.8
292888520,1754259124420670.2
292921864,1754259124457461.5
292955188,1754259124527711.0
292988516,1754259124546635.0
293021820,1754259124562484.5
293055108,1754259124628393.5
293088461,1754259124637649.8
293121779,1754259124661457.2
293155102,1754259124697677.2
293188407,1754259124729778.2
293221710,1754259124756787.8
293255059,1754259124791646.0
293288355,1754259124836588.5
293321661,1754259124873928.8
293354999,1754259124897800.8
293388311,1754259124972491.5
293421649,1754259124985055.8
293454926,1754259125005201.5
293488261,1754259125046760.5
293521561,1754259125072406.8
293554890,1754259125093640.8
293588221,1754259125152738.2
293621538,1754259125173398.2
293654829,1754259125197499.8
293688169,1754259125229878.5
293721501,1754259125268589.8
293754815,1754259125290969.2
293788123,1754259125321112.8
293821444,1754259125356367.2
293854774,1754259125428589.0
293888078,1754259125444664.2
293921373,1754259125464728.2
293954737,1754259125521251.8
293988030,1754259125564556.0
294021360,1754259125580669.5
294054683,1754259125607618.5
294087967,1754259125644217.0
294121279,1754259125656382.2
294154621,1754259125692378.5
294187939,1754259125721777.2
294221262,1754259125754814.5
294254583,1754259125792542.8
294287867,1754259125819468.8
294321185,1754259125860406.2
294354503,1754259125887153.8
294387829,1754259125925500.8
294421138,1754259125970581.5
294454464,1754259125992504.0
294487801,1754259126025318.0
294521092,1754259126053368.0
294554410,1754259126085071.2
294587728,1754259126124900.0
294621073,1754259126154688.2
294654388,1754259126188527.5
294687718,1754259126223796.2
294721005,1754259126265416.8
294754350,1754259126292672.0
294787637,1754259126323830.2
294820953,1754259126354054.0
294854271,1754259126386616.0
294887590,1754259126420344.5
294920943,1754259126457483.5
294954261,1754259126486927.2
294987542,1754259126536571.0
295020862,1754259126560577.5
295054178,1754259126586614.8
295087504,1754259126629799.5
295120818,1754259126670166.8
295154135,1754259126699189.2
295187492,1754259126725564.0
295220774,1754259126758348.5
295254086,1754259126794058.5
295287403,1754259126819577.5
295320740,1754259126861017.8
295354068,1754259126901348.8
295387386,1754259126920360.8
295420702,1754259126959580.8
295454027,1754259126992464.5
295487310,1754259127022332.5
295520628,1754259127061317.8
