sensor_ts,system_ts
4562973882,1754204471605005.0
4563007198,1754204471638459.0
4563040518,1754204471672007.8
4563073837,1754204471705278.5
4563107153,1754204471739090.0
4563140474,1754204471772793.8
4563173790,1754204471805053.2
4563207108,1754204471838388.8
4563240427,1754204471871594.2
4563273745,1754204471904901.2
4563307061,1754204471938269.8
4563340382,1754204471971672.0
4563373700,1754204472005000.0
4563407018,1754204472038304.5
4563440335,1754204472071532.5
4563473654,1754204472104823.0
4563506973,1754204472138287.8
4563540290,1754204472171850.5
4563573609,1754204472205160.2
4563606927,1754204472239483.2
4563640244,1754204472271604.0
4563673564,1754204472304898.0
4563706883,1754204472338199.0
4563740201,1754204472372514.0
4563773519,1754204472404832.2
4563806837,1754204472438211.5
4563840156,1754204472471377.2
4563873472,1754204472504742.5
4563906792,1754204472538050.0
4563940110,1754204472571601.8
4563973427,1754204472605889.5
4564006748,1754204472639221.2
4564040066,1754204472671311.5
4564073383,1754204472704695.8
4564106700,1754204472737947.0
4564140019,1754204472771283.2
4564173337,1754204472804586.0
4564206657,1754204472837889.2
4564239974,1754204472871260.5
4564273292,1754204472904549.0
4564306610,1754204472938008.2
4564339927,1754204472971349.2
4564373246,1754204473004627.0
4564406564,1754204473037969.0
4564439884,1754204473071204.0
4564473202,1754204473104500.5
4564506519,1754204473137813.0
4564539838,1754204473171109.2
4564573157,1754204473204426.5
4564606474,1754204473237750.0
4564639791,1754204473271102.8
4564673110,1754204473304389.8
4564706429,1754204473338786.2
4564739746,1754204473371057.8
4564773065,1754204473405289.5
4564806383,1754204473437633.2
4564839701,1754204473471022.2
4564873020,1754204473504235.5
4564906338,1754204473537637.8
4564939656,1754204473570942.0
4564972975,1754204473604206.8
4565006293,1754204473638572.2
4565039612,1754204473672033.8
4565072930,1754204473704338.0
4565106248,1754204473737724.8
4565139566,1754204473770725.5
4565172888,1754204473804062.5
4565206205,1754204473837395.8
4565239523,1754204473870839.0
4565272844,1754204473904056.0
4565306160,1754204473937363.2
4565339477,1754204473970939.5
4565372796,1754204474004262.0
4565406113,1754204474038599.2
4565439433,1754204474070649.5
4565472751,1754204474103941.5
4565506069,1754204474137369.8
4565539386,1754204474170812.2
4565572704,1754204474204126.2
4565606022,1754204474237419.8
4565639344,1754204474270720.8
4565672662,1754204474304041.5
4565705977,1754204474337384.2
4565739297,1754204474370663.8
4565772617,1754204474403995.8
4565805933,1754204474437317.2
4565839251,1754204474470520.8
4565872570,1754204474503905.0
4565905888,1754204474537247.0
4565939206,1754204474570502.2
4565972526,1754204474603791.0
4566005841,1754204474637118.8
4566039160,1754204474670710.5
4566072482,1754204474704025.2
4566105797,1754204474737358.0
4566139114,1754204474771386.2
4566172433,1754204474803747.8
4566205753,1754204474837026.0
4566239070,1754204474870344.2
4566272390,1754204474903671.5
4566305708,1754204474937060.0
4566339024,1754204474970288.0
4566372345,1754204475003579.5
4566405661,1754204475036917.2
4566438979,1754204475070539.0
4566472301,1754204475103834.2
4566505616,1754204475137154.5
4566538934,1754204475170394.2
4566572254,1754204475203559.0
4566605573,1754204475236935.5
4566638889,1754204475270214.8
4566672207,1754204475304587.5
4566705526,1754204475337017.0
4566738844,1754204475370264.8
4566772165,1754204475403332.2
4566805481,1754204475436748.2
4566838801,1754204475470080.2
4566872118,1754204475503663.0
4566905436,1754204475537002.5
4566938753,1754204475570306.5
4566972073,1754204475603369.2
4567005391,1754204475636769.2
4567038708,1754204475670024.5
4567072028,1754204475703503.2
4567105346,1754204475736881.8
4567138664,1754204475770258.5
4567171982,1754204475803356.2
4567205300,1754204475836702.0
4567238618,1754204475870024.0
4567271938,1754204475903316.2
4567305257,1754204475937632.0
4567338573,1754204475969868.0
4567371892,1754204476003149.5
4567405211,1754204476036433.2
4567438528,1754204476069751.2
4567471846,1754204476104039.2
4567505166,1754204476137797.8
4567538482,1754204476169643.5
4567571801,1754204476202969.5
4567605120,1754204476236271.0
4567638439,1754204476269604.5
4567671755,1754204476302924.5
4567705075,1754204476336248.8
4567738398,1754204476369562.2
4567771714,1754204476403145.2
4567805028,1754204476436469.2
4567838346,1754204476469794.2
4567871665,1754204476502960.0
4567904983,1754204476536394.5
4567938303,1754204476569694.0
4567971621,1754204476602831.2
4568004939,1754204476636154.0
4568038257,1754204476670544.8
4568071578,1754204476702829.0
4568104898,1754204476737158.5
4568138211,1754204476769439.5
4568171529,1754204476802811.8
4568204848,1754204476836117.0
4568238166,1754204476869456.5
4568271484,1754204476902634.8
4568304803,1754204476937102.8
4568338120,1754204476969394.2
4568371439,1754204477003706.8
4568404759,1754204477036014.8
4568438077,1754204477069306.5
4568471394,1754204477102913.8
4568504714,1754204477136244.8
4568538032,1754204477169554.8
4568571348,1754204477202750.8
4568604668,1754204477236055.0
4568637987,1754204477269369.5
4568671305,1754204477302669.0
4568704623,1754204477336094.0
4568737940,1754204477369318.8
4568771258,1754204477402645.0
4568804580,1754204477435950.8
4568837896,1754204477469289.5
4568871214,1754204477502603.2
4568904532,1754204477535919.8
4568937850,1754204477569225.0
4568971168,1754204477602531.8
4569004488,1754204477635856.2
4569037807,1754204477669214.5
4569071122,1754204477702662.5
4569104442,1754204477736058.0
4569137761,1754204477769312.8
4569171079,1754204477802596.5
4569204397,1754204477835929.8
4569237714,1754204477869284.8
4569271031,1754204477902275.2
4569304352,1754204477935588.2
4569337669,1754204477968891.0
4569370988,1754204478002239.0
4569404307,1754204478035525.8
4569437625,1754204478068880.8
4569470942,1754204478102483.0
4569504261,1754204478135884.2
4569537578,1754204478169120.5
4569570896,1754204478202154.0
4569604217,1754204478235455.5
4569637536,1754204478269784.0
4569670853,1754204478303098.0
4569704171,1754204478335419.2
4569737489,1754204478368754.2
4569770806,1754204478402035.0
4569804126,1754204478435360.0
4569837444,1754204478469694.5
4569870761,1754204478502133.0
4569904080,1754204478535524.8
4569937398,1754204478568794.0
4569970716,1754204478601966.5
4570004035,1754204478636255.8
4570037353,1754204478668631.8
4570070671,1754204478702196.0
4570103993,1754204478736524.0
4570137308,1754204478768847.5
4570170625,1754204478801934.5
4570203944,1754204478835225.8
4570237263,1754204478868645.8
4570270580,1754204478902814.8
4570303899,1754204478935254.0
4570337217,1754204478968502.0
4570370537,1754204479001812.5
4570403854,1754204479035093.2
4570437172,1754204479068430.8
4570470491,1754204479101741.2
4570503808,1754204479135053.8
4570537129,1754204479168385.5
4570570447,1754204479201797.0
4570603766,1754204479235289.5
4570637082,1754204479268583.5
4570670400,1754204479301815.2
4570703718,1754204479335132.2
4570737040,1754204479369438.8
4570770356,1754204479401726.5
4570803673,1754204479435057.2
4570836992,1754204479468292.2
4570870311,1754204479501711.5
4570903628,1754204479534995.2
4570936946,1754204479568321.8
4570970267,1754204479601660.8
4571003583,1754204479634978.0
4571036903,1754204479669252.5
4571070219,1754204479701596.0
4571103538,1754204479734882.2
4571136857,1754204479768113.5
4571170175,1754204479801428.2
4571203494,1754204479834871.5
4571236812,1754204479868256.0
4571270131,1754204479901571.2
4571303450,1754204479934632.2
4571336768,1754204479967923.2
4571370087,1754204480001238.5
4571403405,1754204480034572.0
4571436723,1754204480067886.0
4571470042,1754204480101191.2
4571503358,1754204480134604.2
4571536679,1754204480167858.0
4571569995,1754204480201180.0
4571603313,1754204480234509.0
4571636633,1754204480267801.8
4571669950,1754204480301120.8
4571703269,1754204480334433.8
4571736590,1754204480367860.8
4571769907,1754204480401175.5
4571803222,1754204480434588.8
4571836542,1754204480467900.2
4571869860,1754204480501118.5
4571903176,1754204480534459.5
4571936498,1754204480567696.5
4571969816,1754204480600980.0
4572003133,1754204480634315.0
4572036452,1754204480667658.8
4572069771,1754204480700972.2
4572103087,1754204480734241.5
4572136406,1754204480767541.5
4572169725,1754204480800890.2
4572203042,1754204480834188.2
4572236360,1754204480867549.0
4572269681,1754204480900871.2
4572302996,1754204480934236.8
4572336316,1754204480968534.8
4572369636,1754204481000809.0
4572402952,1754204481034090.8
4572436271,1754204481067420.2
4572469589,1754204481101810.5
4572502906,1754204481134059.5
4572536225,1754204481167361.8
4572569544,1754204481200756.0
4572602861,1754204481234001.8
4572636181,1754204481268339.5
4572669500,1754204481301728.5
4572702816,1754204481334033.0
4572736134,1754204481367287.2
4572769455,1754204481400635.2
4572802771,1754204481433924.8
4572836090,1754204481467241.0
4572869410,1754204481501634.0
4572902726,1754204481533893.8
4572936046,1754204481567212.0
4572969364,1754204481600544.8
4573002681,1754204481633833.2
4573035999,1754204481667168.8
4573069319,1754204481700552.2
4573102637,1754204481734035.8
4573135955,1754204481767413.8
4573169273,1754204481800670.5
4573202593,1754204481834030.2
4573235909,1754204481867338.0
4573269229,1754204481900632.5
4573302545,1754204481933886.2
4573335864,1754204481967165.5
4573369184,1754204482000538.8
4573402500,1754204482033819.5
4573435818,1754204482067071.5
4573469138,1754204482100377.5
4573502457,1754204482133855.8
4573535774,1754204482168052.5
4573569092,1754204482200400.0
4573602412,1754204482234695.2
4573635728,1754204482266995.0
4573669048,1754204482300249.8
4573702366,1754204482333678.2
4573735683,1754204482366970.2
4573769002,1754204482400193.8
4573802320,1754204482433621.0
4573835640,1754204482467867.0
4573868957,1754204482500110.8
4573902274,1754204482533556.5
4573935595,1754204482567021.8
4573968913,1754204482600238.0
4574002231,1754204482633624.8
4574035549,1754204482666836.8
4574068867,1754204482700123.2
4574102183,1754204482733407.8
4574135501,1754204482766785.5
4574168822,1754204482800040.0
4574202139,1754204482833417.8
4574235456,1754204482867642.5
4574268776,1754204482899882.5
4574302095,1754204482933362.8
4574335412,1754204482966871.0
4574368733,1754204483000069.0
4574402050,1754204483033350.8
4574435367,1754204483066666.8
4574468686,1754204483100013.0
4574502003,1754204483133312.2
4574535322,1754204483166594.2
4574568642,1754204483199980.8
4574601958,1754204483233250.8
4574635277,1754204483266572.2
4574668596,1754204483299882.2
4574701913,1754204483333305.0
4574735231,1754204483366544.5
4574768550,1754204483399816.8
4574801867,1754204483433133.5
4574835186,1754204483466439.2
4574868505,1754204483499680.5
